,version,description,id,schemas,documentationLink,rootUrl,discoveryVersion,mtlsRootUrl,ownerDomain,resources,auth,servicePath,kind,parameters,revision,protocol,ownerName,icons,canonicalName,fullyEncodeReservedExpansion,basePath,title,name,version_module,baseUrl,batchPath
AddSheetRequest,v4,Reads and writes Google Sheets.,sheets:v4,"{'type': 'object', 'description': ""Adds a new sheet. When a sheet is added at a given index, all subsequent sheets' indexes are incremented. To add an object sheet, use AddChartRequest instead and specify EmbeddedObjectPosition.sheetId or EmbeddedObjectPosition.newSheet."", 'properties': {'properties': {'description': 'The properties the new sheet should have. All properties are optional. The sheetId field is optional; if one is not set, an id will be randomly generated. (It is an error to specify the ID of a sheet that already exists.)', '$ref': 'SheetProperties'}}, 'id': 'AddSheetRequest'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
CreateDeveloperMetadataRequest,v4,Reads and writes Google Sheets.,sheets:v4,"{'id': 'CreateDeveloperMetadataRequest', 'type': 'object', 'properties': {'developerMetadata': {'description': 'The developer metadata to create.', '$ref': 'DeveloperMetadata'}}, 'description': 'A request to create developer metadata.'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
DeleteSheetRequest,v4,Reads and writes Google Sheets.,sheets:v4,"{'properties': {'sheetId': {'type': 'integer', 'format': 'int32', 'description': 'The ID of the sheet to delete. If the sheet is of DATA_SOURCE type, the associated DataSource is also deleted.'}}, 'description': 'Deletes the requested sheet.', 'type': 'object', 'id': 'DeleteSheetRequest'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
ManualRuleGroup,v4,Reads and writes Google Sheets.,sheets:v4,"{'type': 'object', 'properties': {'items': {'items': {'$ref': 'ExtendedValue'}, 'description': 'The items in the source data that should be placed into this group. Each item may be a string, number, or boolean. Items may appear in at most one group within a given ManualRule. Items that do not appear in any group will appear on their own.', 'type': 'array'}, 'groupName': {'description': 'The group name, which must be a string. Each group in a given ManualRule must have a unique group name.', '$ref': 'ExtendedValue'}}, 'description': 'A group name and a list of items from the source data that should be placed in the group with this name.', 'id': 'ManualRuleGroup'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
AddSheetResponse,v4,Reads and writes Google Sheets.,sheets:v4,"{'type': 'object', 'properties': {'properties': {'$ref': 'SheetProperties', 'description': 'The properties of the newly added sheet.'}}, 'id': 'AddSheetResponse', 'description': 'The result of adding a sheet.'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
BatchUpdateValuesRequest,v4,Reads and writes Google Sheets.,sheets:v4,"{'id': 'BatchUpdateValuesRequest', 'properties': {'responseValueRenderOption': {'enum': ['FORMATTED_VALUE', 'UNFORMATTED_VALUE', 'FORMULA'], 'description': 'Determines how values in the response should be rendered. The default render option is FORMATTED_VALUE.', 'enumDescriptions': ['Values will be calculated & formatted in the reply according to the cell\'s formatting. Formatting is based on the spreadsheet\'s locale, not the requesting user\'s locale. For example, if `A1` is `1.23` and `A2` is `=A1` and formatted as currency, then `A2` would return `""$1.23""`.', 'Values will be calculated, but not formatted in the reply. For example, if `A1` is `1.23` and `A2` is `=A1` and formatted as currency, then `A2` would return the number `1.23`.', 'Values will not be calculated. The reply will include the formulas. For example, if `A1` is `1.23` and `A2` is `=A1` and formatted as currency, then A2 would return `""=A1""`.'], 'type': 'string'}, 'data': {'description': 'The new values to apply to the spreadsheet.', 'type': 'array', 'items': {'$ref': 'ValueRange'}}, 'includeValuesInResponse': {'description': 'Determines if the update response should include the values of the cells that were updated. By default, responses do not include the updated values. The `updatedData` field within each of the BatchUpdateValuesResponse.responses contains the updated values. If the range to write was larger than the range actually written, the response includes all values in the requested range (excluding trailing empty rows and columns).', 'type': 'boolean'}, 'responseDateTimeRenderOption': {'type': 'string', 'enum': ['SERIAL_NUMBER', 'FORMATTED_STRING'], 'enumDescriptions': ['Instructs date, time, datetime, and duration fields to be output as doubles in ""serial number"" format, as popularized by Lotus 1-2-3. The whole number portion of the value (left of the decimal) counts the days since December 30th 1899. The fractional portion (right of the decimal) counts the time as a fraction of the day. For example, January 1st 1900 at noon would be 2.5, 2 because it\'s 2 days after December 30st 1899, and .5 because noon is half a day. February 1st 1900 at 3pm would be 33.625. This correctly treats the year 1900 as not a leap year.', 'Instructs date, time, datetime, and duration fields to be output as strings in their given number format (which is dependent on the spreadsheet locale).'], 'description': 'Determines how dates, times, and durations in the response should be rendered. This is ignored if response_value_render_option is FORMATTED_VALUE. The default dateTime render option is SERIAL_NUMBER.'}, 'valueInputOption': {'enumDescriptions': ['Default input value. This value must not be used.', 'The values the user has entered will not be parsed and will be stored as-is.', 'The values will be parsed as if the user typed them into the UI. Numbers will stay as numbers, but strings may be converted to numbers, dates, etc. following the same rules that are applied when entering text into a cell via the Google Sheets UI.'], 'enum': ['INPUT_VALUE_OPTION_UNSPECIFIED', 'RAW', 'USER_ENTERED'], 'type': 'string', 'description': 'How the input data should be interpreted.'}}, 'description': 'The request for updating more than one range of values in a spreadsheet.', 'type': 'object'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
DataSourceSpec,v4,Reads and writes Google Sheets.,sheets:v4,"{'type': 'object', 'properties': {'parameters': {'description': 'The parameters of the data source, used when querying the data source.', 'items': {'$ref': 'DataSourceParameter'}, 'type': 'array'}, 'bigQuery': {'$ref': 'BigQueryDataSourceSpec', 'description': 'A BigQueryDataSourceSpec.'}}, 'description': 'This specifies the details of the data source. For example, for BigQuery, this specifies information about the BigQuery source.', 'id': 'DataSourceSpec'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
ClearValuesResponse,v4,Reads and writes Google Sheets.,sheets:v4,"{'properties': {'spreadsheetId': {'type': 'string', 'description': 'The spreadsheet the updates were applied to.'}, 'clearedRange': {'description': ""The range (in A1 notation) that was cleared. (If the request was for an unbounded range or a ranger larger than the bounds of the sheet, this will be the actual range that was cleared, bounded to the sheet's limits.)"", 'type': 'string'}}, 'type': 'object', 'id': 'ClearValuesResponse', 'description': 'The response when clearing a range of values in a spreadsheet.'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
UpdateConditionalFormatRuleResponse,v4,Reads and writes Google Sheets.,sheets:v4,"{'description': 'The result of updating a conditional format rule.', 'properties': {'oldRule': {'description': 'The old (deleted) rule. Not set if a rule was moved (because it is the same as new_rule).', '$ref': 'ConditionalFormatRule'}, 'newRule': {'$ref': 'ConditionalFormatRule', 'description': 'The new rule that replaced the old rule (if replacing), or the rule that was moved (if moved)'}, 'oldIndex': {'format': 'int32', 'type': 'integer', 'description': 'The old index of the rule. Not set if a rule was replaced (because it is the same as new_index).'}, 'newIndex': {'description': 'The index of the new rule.', 'type': 'integer', 'format': 'int32'}}, 'id': 'UpdateConditionalFormatRuleResponse', 'type': 'object'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
Response,v4,Reads and writes Google Sheets.,sheets:v4,"{'description': 'A single response from an update.', 'properties': {'addFilterView': {'$ref': 'AddFilterViewResponse', 'description': 'A reply from adding a filter view.'}, 'deleteConditionalFormatRule': {'$ref': 'DeleteConditionalFormatRuleResponse', 'description': 'A reply from deleting a conditional format rule.'}, 'refreshDataSource': {'description': 'A reply from refreshing data source objects.', '$ref': 'RefreshDataSourceResponse'}, 'findReplace': {'$ref': 'FindReplaceResponse', 'description': 'A reply from doing a find/replace.'}, 'duplicateFilterView': {'description': 'A reply from duplicating a filter view.', '$ref': 'DuplicateFilterViewResponse'}, 'addDimensionGroup': {'$ref': 'AddDimensionGroupResponse', 'description': 'A reply from adding a dimension group.'}, 'addDataSource': {'$ref': 'AddDataSourceResponse', 'description': 'A reply from adding a data source.'}, 'updateEmbeddedObjectPosition': {'description': ""A reply from updating an embedded object's position."", '$ref': 'UpdateEmbeddedObjectPositionResponse'}, 'trimWhitespace': {'$ref': 'TrimWhitespaceResponse', 'description': 'A reply from trimming whitespace.'}, 'createDeveloperMetadata': {'description': 'A reply from creating a developer metadata entry.', '$ref': 'CreateDeveloperMetadataResponse'}, 'addBanding': {'$ref': 'AddBandingResponse', 'description': 'A reply from adding a banded range.'}, 'addChart': {'$ref': 'AddChartResponse', 'description': 'A reply from adding a chart.'}, 'updateDataSource': {'$ref': 'UpdateDataSourceResponse', 'description': 'A reply from updating a data source.'}, 'duplicateSheet': {'$ref': 'DuplicateSheetResponse', 'description': 'A reply from duplicating a sheet.'}, 'deleteDeveloperMetadata': {'$ref': 'DeleteDeveloperMetadataResponse', 'description': 'A reply from deleting a developer metadata entry.'}, 'addProtectedRange': {'$ref': 'AddProtectedRangeResponse', 'description': 'A reply from adding a protected range.'}, 'updateConditionalFormatRule': {'$ref': 'UpdateConditionalFormatRuleResponse', 'description': 'A reply from updating a conditional format rule.'}, 'updateDeveloperMetadata': {'description': 'A reply from updating a developer metadata entry.', '$ref': 'UpdateDeveloperMetadataResponse'}, 'addSheet': {'description': 'A reply from adding a sheet.', '$ref': 'AddSheetResponse'}, 'addSlicer': {'$ref': 'AddSlicerResponse', 'description': 'A reply from adding a slicer.'}, 'deleteDimensionGroup': {'description': 'A reply from deleting a dimension group.', '$ref': 'DeleteDimensionGroupResponse'}, 'deleteDuplicates': {'$ref': 'DeleteDuplicatesResponse', 'description': 'A reply from removing rows containing duplicate values.'}, 'addNamedRange': {'$ref': 'AddNamedRangeResponse', 'description': 'A reply from adding a named range.'}}, 'id': 'Response', 'type': 'object'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
ChartData,v4,Reads and writes Google Sheets.,sheets:v4,"{'id': 'ChartData', 'properties': {'groupRule': {'$ref': 'ChartGroupRule', 'description': 'The rule to group the data by if the ChartData backs the domain of a data source chart. Only supported for data source charts.'}, 'columnReference': {'$ref': 'DataSourceColumnReference', 'description': 'The reference to the data source column that the data reads from.'}, 'sourceRange': {'description': 'The source ranges of the data.', '$ref': 'ChartSourceRange'}, 'aggregateType': {'enumDescriptions': ['Default value, do not use.', 'Average aggregate function.', 'Count aggregate function.', 'Maximum aggregate function.', 'Median aggregate function.', 'Minimum aggregate function.', 'Sum aggregate function.'], 'description': 'The aggregation type for the series of a data source chart. Only supported for data source charts.', 'enum': ['CHART_AGGREGATE_TYPE_UNSPECIFIED', 'AVERAGE', 'COUNT', 'MAX', 'MEDIAN', 'MIN', 'SUM'], 'type': 'string'}}, 'description': 'The data included in a domain or series.', 'type': 'object'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
UpdateDeveloperMetadataRequest,v4,Reads and writes Google Sheets.,sheets:v4,"{'description': 'A request to update properties of developer metadata. Updates the properties of the developer metadata selected by the filters to the values provided in the DeveloperMetadata resource. Callers must specify the properties they wish to update in the fields parameter, as well as specify at least one DataFilter matching the metadata they wish to update.', 'properties': {'fields': {'format': 'google-fieldmask', 'type': 'string', 'description': 'The fields that should be updated. At least one field must be specified. The root `developerMetadata` is implied and should not be specified. A single `""*""` can be used as short-hand for listing every field.'}, 'dataFilters': {'description': 'The filters matching the developer metadata entries to update.', 'type': 'array', 'items': {'$ref': 'DataFilter'}}, 'developerMetadata': {'description': 'The value that all metadata matched by the data filters will be updated to.', '$ref': 'DeveloperMetadata'}}, 'id': 'UpdateDeveloperMetadataRequest', 'type': 'object'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
SetDataValidationRequest,v4,Reads and writes Google Sheets.,sheets:v4,"{'properties': {'rule': {'$ref': 'DataValidationRule', 'description': 'The data validation rule to set on each cell in the range, or empty to clear the data validation in the range.'}, 'range': {'$ref': 'GridRange', 'description': 'The range the data validation rule should apply to.'}}, 'id': 'SetDataValidationRequest', 'description': 'Sets a data validation rule to every cell in the range. To clear validation in a range, call this with no rule specified.', 'type': 'object'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
UpdateEmbeddedObjectBorderRequest,v4,Reads and writes Google Sheets.,sheets:v4,"{'properties': {'fields': {'type': 'string', 'description': 'The fields that should be updated. At least one field must be specified. The root `border` is implied and should not be specified. A single `""*""` can be used as short-hand for listing every field.', 'format': 'google-fieldmask'}, 'border': {'description': 'The border that applies to the embedded object.', '$ref': 'EmbeddedObjectBorder'}, 'objectId': {'type': 'integer', 'description': 'The ID of the embedded object to update.', 'format': 'int32'}}, 'type': 'object', 'id': 'UpdateEmbeddedObjectBorderRequest', 'description': ""Updates an embedded object's border property.""}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
